城市,区,地铁站点数,人均可支配收入（元）,聚类种类
呼和浩特市,玉泉区,3,50888.0,类别4
呼和浩特市,赛罕区,11,50888.0,类别4
呼和浩特市,土默特左旗,1,50888.0,类别4
呼和浩特市,托克托县,0,50888.0,类别4
呼和浩特市,和林格尔县,0,50888.0,类别4
呼和浩特市,清水河县,0,50888.0,类别4
呼和浩特市,武川县,0,50888.0,类别4
呼和浩特市,呼和浩特经济技术开发区,0,50888.0,类别4
包头市,东河区,0,,类别4
包头市,昆都仑区,0,,类别4
包头市,青山区,0,,类别4
包头市,石拐区,0,,类别4
包头市,白云鄂博矿区,0,,类别4
包头市,九原区,0,,类别4
包头市,土默特右旗,0,,类别4
包头市,固阳县,0,,类别4
包头市,达尔罕茂明安联合旗,0,,类别4
包头市,包头稀土高新技术产业开发区,0,,类别4
乌海市,海勃湾区,0,,类别4
乌海市,海南区,0,,类别4
乌海市,乌达区,0,,类别4
赤峰市,红山区,0,,类别4
赤峰市,元宝山区,0,,类别4
赤峰市,松山区,0,,类别4
赤峰市,阿鲁科尔沁旗,0,,类别4
赤峰市,巴林左旗,0,,类别4
赤峰市,巴林右旗,0,,类别4
赤峰市,林西县,0,,类别4
赤峰市,克什克腾旗,0,,类别4
赤峰市,翁牛特旗,0,,类别4
赤峰市,喀喇沁旗,0,,类别4
赤峰市,宁城县,0,,类别4
赤峰市,敖汉旗,0,,类别4
通辽市,科尔沁区,0,,类别4
通辽市,科尔沁左翼中旗,0,,类别4
通辽市,科尔沁左翼后旗,0,,类别4
通辽市,开鲁县,0,,类别4
通辽市,库伦旗,0,,类别4
通辽市,奈曼旗,0,,类别4
通辽市,扎鲁特旗,0,,类别4
通辽市,通辽经济技术开发区,0,,类别4
通辽市,霍林郭勒市,0,,类别4
鄂尔多斯市,东胜区,0,,类别4
鄂尔多斯市,康巴什区,0,,类别4
鄂尔多斯市,达拉特旗,0,,类别4
鄂尔多斯市,准格尔旗,0,,类别4
鄂尔多斯市,鄂托克前旗,0,,类别4
鄂尔多斯市,鄂托克旗,0,,类别4
鄂尔多斯市,杭锦旗,0,,类别4
鄂尔多斯市,乌审旗,0,,类别4
鄂尔多斯市,伊金霍洛旗,0,,类别4
呼伦贝尔市,海拉尔区,0,,类别4
呼伦贝尔市,扎赉诺尔区,0,,类别4
呼伦贝尔市,阿荣旗,0,,类别4
呼伦贝尔市,莫力达瓦达斡尔族自治旗,0,,类别4
呼伦贝尔市,鄂伦春自治旗,0,,类别4
呼伦贝尔市,鄂温克族自治旗,0,,类别4
呼伦贝尔市,陈巴尔虎旗,0,,类别4
呼伦贝尔市,新巴尔虎左旗,0,,类别4
呼伦贝尔市,新巴尔虎右旗,0,,类别4
呼伦贝尔市,满洲里市,0,,类别4
呼伦贝尔市,牙克石市,0,,类别4
呼伦贝尔市,扎兰屯市,0,,类别4
呼伦贝尔市,额尔古纳市,0,,类别4
呼伦贝尔市,根河市,0,,类别4
巴彦淖尔市,临河区,0,,类别4
巴彦淖尔市,五原县,0,,类别4
巴彦淖尔市,磴口县,0,,类别4
巴彦淖尔市,乌拉特前旗,0,,类别4
